[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True, False) | Mon Sep  8 12:12:55 2025
[LoggerStatus.SUCCESS] | [+] Create default directories | Mon Sep  8 12:12:55 2025
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Mon Sep  8 12:12:56 2025
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Mon Sep  8 12:12:56 2025
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Mon Sep  8 12:13:12 2025
[LoggerStatus.SUCCESS] | Installed: tumbler | Mon Sep  8 12:13:56 2025
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Mon Sep  8 12:13:57 2025
[LoggerStatus.SUCCESS] | Installed: lsd | Mon Sep  8 12:14:09 2025
[LoggerStatus.SUCCESS] | Installed: alacritty | Mon Sep  8 12:14:54 2025
[LoggerStatus.SUCCESS] | Installed: bat | Mon Sep  8 12:15:07 2025
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Mon Sep  8 12:15:08 2025
[LoggerStatus.SUCCESS] | Installed: calc | Mon Sep  8 12:15:14 2025
[LoggerStatus.SUCCESS] | Installed: automake | Mon Sep  8 12:15:24 2025
[LoggerStatus.SUCCESS] | Installed: blueman | Mon Sep  8 12:15:26 2025
[LoggerStatus.SUCCESS] | Installed: bluez | Mon Sep  8 12:15:27 2025
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Mon Sep  8 12:15:29 2025
[LoggerStatus.SUCCESS] | Installed: dunst | Mon Sep  8 12:15:37 2025
[LoggerStatus.SUCCESS] | Installed: fakeroot | Mon Sep  8 12:15:43 2025
[LoggerStatus.SUCCESS] | Installed: feh | Mon Sep  8 12:15:48 2025
[LoggerStatus.SUCCESS] | Installed: firefox | Mon Sep  8 12:15:49 2025
[LoggerStatus.SUCCESS] | Installed: fish | Mon Sep  8 12:16:06 2025
[LoggerStatus.SUCCESS] | Installed: dpkg | Mon Sep  8 12:16:37 2025
[LoggerStatus.SUCCESS] | Installed: gcc | Mon Sep  8 12:17:08 2025
[LoggerStatus.SUCCESS] | Installed: gedit | Mon Sep  8 12:17:19 2025
[LoggerStatus.SUCCESS] | Installed: git | Mon Sep  8 12:17:21 2025
[LoggerStatus.SUCCESS] | Installed: gnu-netcat | Mon Sep  8 12:17:23 2025
[LoggerStatus.SUCCESS] | Installed: htop | Mon Sep  8 12:17:24 2025
[LoggerStatus.SUCCESS] | Installed: btop | Mon Sep  8 12:17:32 2025
[LoggerStatus.SUCCESS] | Installed: nano | Mon Sep  8 12:17:37 2025
[LoggerStatus.SUCCESS] | Installed: lxappearance | Mon Sep  8 12:18:10 2025
[LoggerStatus.SUCCESS] | Installed: mat2 | Mon Sep  8 12:18:14 2025
[LoggerStatus.SUCCESS] | Installed: mpd | Mon Sep  8 12:18:46 2025
[LoggerStatus.SUCCESS] | Installed: mpv | Mon Sep  8 12:18:56 2025
[LoggerStatus.SUCCESS] | Installed: thunar | Mon Sep  8 12:19:17 2025
[LoggerStatus.SUCCESS] | Installed: ncmpcpp | Mon Sep  8 12:19:35 2025
[LoggerStatus.SUCCESS] | Installed: neofetch | Mon Sep  8 12:19:35 2025
[LoggerStatus.SUCCESS] | Installed: network-manager-applet | Mon Sep  8 12:19:37 2025
[LoggerStatus.SUCCESS] | Installed: nitrogen | Mon Sep  8 12:19:51 2025
[LoggerStatus.SUCCESS] | Installed: pamixer | Mon Sep  8 12:19:52 2025
[LoggerStatus.SUCCESS] | Installed: papirus-icon-theme | Mon Sep  8 12:20:28 2025
[LoggerStatus.SUCCESS] | Installed: pavucontrol | Mon Sep  8 12:20:29 2025
[LoggerStatus.SUCCESS] | Installed: polybar | Mon Sep  8 12:20:40 2025
[LoggerStatus.SUCCESS] | Installed: autoconf | Mon Sep  8 12:20:44 2025
[LoggerStatus.SUCCESS] | Installed: mpc | Mon Sep  8 12:20:47 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio | Mon Sep  8 12:20:47 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio-alsa | Mon Sep  8 12:20:50 2025
[LoggerStatus.SUCCESS] | Installed: python-pyalsa | Mon Sep  8 12:20:56 2025
[LoggerStatus.SUCCESS] | Installed: ranger | Mon Sep  8 12:21:02 2025
[LoggerStatus.SUCCESS] | Installed: redshift | Mon Sep  8 12:21:15 2025
[LoggerStatus.SUCCESS] | Installed: reflector | Mon Sep  8 12:21:17 2025
[LoggerStatus.SUCCESS] | Installed: rofi | Mon Sep  8 12:21:17 2025
[LoggerStatus.SUCCESS] | Installed: rofi-calc | Mon Sep  8 12:21:29 2025
[LoggerStatus.SUCCESS] | Installed: calcurse | Mon Sep  8 12:21:40 2025
[LoggerStatus.SUCCESS] | Installed: rofi-emoji | Mon Sep  8 12:21:41 2025
[LoggerStatus.SUCCESS] | Installed: scrot | Mon Sep  8 12:21:47 2025
[LoggerStatus.SUCCESS] | Installed: sudo | Mon Sep  8 12:21:56 2025
[LoggerStatus.SUCCESS] | Installed: slop | Mon Sep  8 12:22:18 2025
[LoggerStatus.SUCCESS] | Installed: tree | Mon Sep  8 12:22:20 2025
[LoggerStatus.SUCCESS] | Installed: unrar | Mon Sep  8 12:22:21 2025
[LoggerStatus.SUCCESS] | Installed: zip | Mon Sep  8 12:22:23 2025
[LoggerStatus.SUCCESS] | Installed: unzip | Mon Sep  8 12:22:24 2025
[LoggerStatus.SUCCESS] | Installed: uthash | Mon Sep  8 12:22:27 2025
[LoggerStatus.SUCCESS] | Installed: xarchiver | Mon Sep  8 12:22:38 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-power-manager | Mon Sep  8 12:22:43 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-settings | Mon Sep  8 12:22:58 2025
[LoggerStatus.SUCCESS] | Installed: xorg-xbacklight | Mon Sep  8 12:23:05 2025
[LoggerStatus.SUCCESS] | Installed: zathura | Mon Sep  8 12:23:10 2025
[LoggerStatus.SUCCESS] | Installed: zathura-djvu | Mon Sep  8 12:23:10 2025
[LoggerStatus.SUCCESS] | Installed: zathura-pdf-mupdf | Mon Sep  8 12:23:20 2025
[LoggerStatus.SUCCESS] | Installed: cmake | Mon Sep  8 12:23:21 2025
[LoggerStatus.SUCCESS] | Installed: clang | Mon Sep  8 12:23:23 2025
[LoggerStatus.SUCCESS] | Installed: gzip | Mon Sep  8 12:23:25 2025
[LoggerStatus.SUCCESS] | Installed: imagemagick | Mon Sep  8 12:23:28 2025
[LoggerStatus.SUCCESS] | Installed: make | Mon Sep  8 12:23:30 2025
[LoggerStatus.SUCCESS] | Installed: openssh | Mon Sep  8 12:23:31 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio-bluetooth | Mon Sep  8 12:23:32 2025
[LoggerStatus.SUCCESS] | Installed: shellcheck | Mon Sep  8 12:24:18 2025
[LoggerStatus.SUCCESS] | Installed: vlc | Mon Sep  8 12:24:28 2025
[LoggerStatus.SUCCESS] | Installed: usbutils | Mon Sep  8 12:24:30 2025
[LoggerStatus.SUCCESS] | Installed: picom | Mon Sep  8 12:24:31 2025
[LoggerStatus.SUCCESS] | Installed: networkmanager-openvpn | Mon Sep  8 12:24:33 2025
[LoggerStatus.SUCCESS] | Installed: alsa-plugins | Mon Sep  8 12:24:34 2025
[LoggerStatus.SUCCESS] | Installed: alsa-tools | Mon Sep  8 12:24:38 2025
[LoggerStatus.SUCCESS] | Installed: alsa-utils | Mon Sep  8 12:24:40 2025
[LoggerStatus.SUCCESS] | Installed: ffmpeg | Mon Sep  8 12:24:41 2025
[LoggerStatus.SUCCESS] | Installed: p7zip | Mon Sep  8 12:24:45 2025
[LoggerStatus.SUCCESS] | Installed: gparted | Mon Sep  8 12:24:48 2025
[LoggerStatus.SUCCESS] | Installed: sshfs | Mon Sep  8 12:24:50 2025
[LoggerStatus.SUCCESS] | Installed: openvpn | Mon Sep  8 12:24:51 2025
[LoggerStatus.SUCCESS] | Installed: xclip | Mon Sep  8 12:24:53 2025
[LoggerStatus.SUCCESS] | Installed: gpick | Mon Sep  8 12:24:55 2025
[LoggerStatus.SUCCESS] | Installed: wget | Mon Sep  8 12:24:57 2025
[LoggerStatus.SUCCESS] | Installed: ueberzug | Mon Sep  8 12:25:01 2025
[LoggerStatus.SUCCESS] | Installed: netctl | Mon Sep  8 12:25:03 2025
[LoggerStatus.SUCCESS] | Installed: light | Mon Sep  8 12:25:03 2025
[LoggerStatus.SUCCESS] | Installed: libreoffice | Mon Sep  8 12:25:45 2025
[LoggerStatus.SUCCESS] | Installed: breeze | Mon Sep  8 12:26:07 2025
[LoggerStatus.SUCCESS] | Installed: vulkan-intel | Mon Sep  8 12:26:09 2025
[LoggerStatus.SUCCESS] | Installed: intel-ucode | Mon Sep  8 12:26:38 2025
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono | Mon Sep  8 12:26:43 2025
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono-nerd | Mon Sep  8 12:26:45 2025
[LoggerStatus.SUCCESS] | Installed: ttf-fira-code | Mon Sep  8 12:26:51 2025
[LoggerStatus.SUCCESS] | Installed: ttf-iosevka-nerd | Mon Sep  8 12:27:35 2025
[LoggerStatus.SUCCESS] | Installed: cava | Mon Sep  8 12:27:39 2025
[LoggerStatus.SUCCESS] | Installed: i3lock-color | Mon Sep  8 12:28:04 2025
[LoggerStatus.SUCCESS] | Installed: ptpython | Mon Sep  8 12:28:42 2025
[LoggerStatus.SUCCESS] | [+] Firefox styles installed | Mon Sep  8 12:28:47 2025
[LoggerStatus.SUCCESS] | [+] Installed Dev Dependencies | Mon Sep  8 12:28:47 2025
[LoggerStatus.SUCCESS] | Installed: cheese | Mon Sep  8 12:28:55 2025
[LoggerStatus.SUCCESS] | Installed: screenkey | Mon Sep  8 12:28:58 2025
[LoggerStatus.SUCCESS] | Installed: timeshift | Mon Sep  8 12:29:05 2025
[LoggerStatus.SUCCESS] | Installed: pinta | Mon Sep  8 12:29:05 2025
[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True, False) | Mon Sep  8 12:30:10 2025
[LoggerStatus.SUCCESS] | [+] Create default directories | Mon Sep  8 12:30:10 2025
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Mon Sep  8 12:30:10 2025
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Mon Sep  8 12:30:10 2025
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Mon Sep  8 12:30:15 2025
[LoggerStatus.SUCCESS] | Installed: tumbler | Mon Sep  8 12:30:28 2025
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Mon Sep  8 12:30:29 2025
[LoggerStatus.SUCCESS] | Installed: lsd | Mon Sep  8 12:30:30 2025
[LoggerStatus.SUCCESS] | Installed: alacritty | Mon Sep  8 12:30:32 2025
[LoggerStatus.SUCCESS] | Installed: bat | Mon Sep  8 12:30:33 2025
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Mon Sep  8 12:30:34 2025
[LoggerStatus.SUCCESS] | Installed: calc | Mon Sep  8 12:30:35 2025
[LoggerStatus.SUCCESS] | Installed: automake | Mon Sep  8 12:30:36 2025
[LoggerStatus.SUCCESS] | Installed: blueman | Mon Sep  8 12:30:38 2025
[LoggerStatus.SUCCESS] | Installed: bluez | Mon Sep  8 12:30:40 2025
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Mon Sep  8 12:30:41 2025
[LoggerStatus.SUCCESS] | Installed: dunst | Mon Sep  8 12:30:43 2025
[LoggerStatus.SUCCESS] | Installed: fakeroot | Mon Sep  8 12:30:44 2025
[LoggerStatus.SUCCESS] | Installed: feh | Mon Sep  8 12:30:45 2025
[LoggerStatus.SUCCESS] | Installed: firefox | Mon Sep  8 12:30:47 2025
[LoggerStatus.SUCCESS] | Installed: fish | Mon Sep  8 12:30:48 2025
[LoggerStatus.SUCCESS] | Installed: dpkg | Mon Sep  8 12:30:54 2025
[LoggerStatus.SUCCESS] | Installed: gcc | Mon Sep  8 12:30:56 2025
[LoggerStatus.SUCCESS] | Installed: gedit | Mon Sep  8 12:30:57 2025
[LoggerStatus.SUCCESS] | Installed: git | Mon Sep  8 12:30:59 2025
[LoggerStatus.SUCCESS] | Installed: gnu-netcat | Mon Sep  8 12:31:00 2025
[LoggerStatus.SUCCESS] | Installed: htop | Mon Sep  8 12:31:01 2025
[LoggerStatus.SUCCESS] | Installed: btop | Mon Sep  8 12:31:03 2025
[LoggerStatus.SUCCESS] | Installed: nano | Mon Sep  8 12:31:03 2025
[LoggerStatus.SUCCESS] | Installed: lxappearance | Mon Sep  8 12:31:05 2025
[LoggerStatus.SUCCESS] | Installed: mat2 | Mon Sep  8 12:31:06 2025
[LoggerStatus.SUCCESS] | Installed: mpd | Mon Sep  8 12:31:08 2025
[LoggerStatus.SUCCESS] | Installed: mpv | Mon Sep  8 12:31:09 2025
[LoggerStatus.SUCCESS] | Installed: thunar | Mon Sep  8 12:31:11 2025
[LoggerStatus.SUCCESS] | Installed: ncmpcpp | Mon Sep  8 12:31:12 2025
[LoggerStatus.SUCCESS] | Installed: neofetch | Mon Sep  8 12:31:12 2025
[LoggerStatus.SUCCESS] | Installed: network-manager-applet | Mon Sep  8 12:31:14 2025
[LoggerStatus.SUCCESS] | Installed: nitrogen | Mon Sep  8 12:31:15 2025
[LoggerStatus.SUCCESS] | Installed: pamixer | Mon Sep  8 12:31:16 2025
[LoggerStatus.SUCCESS] | Installed: papirus-icon-theme | Mon Sep  8 12:31:24 2025
[LoggerStatus.SUCCESS] | Installed: pavucontrol | Mon Sep  8 12:31:25 2025
[LoggerStatus.SUCCESS] | Installed: polybar | Mon Sep  8 12:31:27 2025
[LoggerStatus.SUCCESS] | Installed: autoconf | Mon Sep  8 12:31:28 2025
[LoggerStatus.SUCCESS] | Installed: mpc | Mon Sep  8 12:31:29 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio | Mon Sep  8 12:31:29 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio-alsa | Mon Sep  8 12:31:30 2025
[LoggerStatus.SUCCESS] | Installed: python-pyalsa | Mon Sep  8 12:31:32 2025
[LoggerStatus.SUCCESS] | Installed: ranger | Mon Sep  8 12:31:33 2025
[LoggerStatus.SUCCESS] | Installed: redshift | Mon Sep  8 12:31:34 2025
[LoggerStatus.SUCCESS] | Installed: reflector | Mon Sep  8 12:31:36 2025
[LoggerStatus.SUCCESS] | Installed: rofi | Mon Sep  8 12:31:36 2025
[LoggerStatus.SUCCESS] | Installed: rofi-calc | Mon Sep  8 12:31:37 2025
[LoggerStatus.SUCCESS] | Installed: calcurse | Mon Sep  8 12:31:39 2025
[LoggerStatus.SUCCESS] | Installed: rofi-emoji | Mon Sep  8 12:31:40 2025
[LoggerStatus.SUCCESS] | Installed: scrot | Mon Sep  8 12:31:41 2025
[LoggerStatus.SUCCESS] | Installed: sudo | Mon Sep  8 12:31:42 2025
[LoggerStatus.SUCCESS] | Installed: slop | Mon Sep  8 12:31:44 2025
[LoggerStatus.SUCCESS] | Installed: tree | Mon Sep  8 12:31:45 2025
[LoggerStatus.SUCCESS] | Installed: unrar | Mon Sep  8 12:31:46 2025
[LoggerStatus.SUCCESS] | Installed: zip | Mon Sep  8 12:31:47 2025
[LoggerStatus.SUCCESS] | Installed: unzip | Mon Sep  8 12:31:48 2025
[LoggerStatus.SUCCESS] | Installed: uthash | Mon Sep  8 12:31:50 2025
[LoggerStatus.SUCCESS] | Installed: xarchiver | Mon Sep  8 12:31:51 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-power-manager | Mon Sep  8 12:31:52 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-settings | Mon Sep  8 12:31:54 2025
[LoggerStatus.SUCCESS] | Installed: xorg-xbacklight | Mon Sep  8 12:31:55 2025
[LoggerStatus.SUCCESS] | Installed: zathura | Mon Sep  8 12:31:56 2025
[LoggerStatus.SUCCESS] | Installed: zathura-djvu | Mon Sep  8 12:31:57 2025
[LoggerStatus.SUCCESS] | Installed: zathura-pdf-mupdf | Mon Sep  8 12:31:59 2025
[LoggerStatus.SUCCESS] | Installed: cmake | Mon Sep  8 12:32:01 2025
[LoggerStatus.SUCCESS] | Installed: clang | Mon Sep  8 12:32:02 2025
[LoggerStatus.SUCCESS] | Installed: gzip | Mon Sep  8 12:32:03 2025
[LoggerStatus.SUCCESS] | Installed: imagemagick | Mon Sep  8 12:32:05 2025
[LoggerStatus.SUCCESS] | Installed: make | Mon Sep  8 12:32:06 2025
[LoggerStatus.SUCCESS] | Installed: openssh | Mon Sep  8 12:32:07 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio-bluetooth | Mon Sep  8 12:32:07 2025
[LoggerStatus.SUCCESS] | Installed: shellcheck | Mon Sep  8 12:32:09 2025
[LoggerStatus.SUCCESS] | Installed: vlc | Mon Sep  8 12:32:10 2025
[LoggerStatus.SUCCESS] | Installed: usbutils | Mon Sep  8 12:32:11 2025
[LoggerStatus.SUCCESS] | Installed: picom | Mon Sep  8 12:32:12 2025
[LoggerStatus.SUCCESS] | Installed: networkmanager-openvpn | Mon Sep  8 12:32:13 2025
[LoggerStatus.SUCCESS] | Installed: alsa-plugins | Mon Sep  8 12:32:15 2025
[LoggerStatus.SUCCESS] | Installed: alsa-tools | Mon Sep  8 12:32:16 2025
[LoggerStatus.SUCCESS] | Installed: alsa-utils | Mon Sep  8 12:32:18 2025
[LoggerStatus.SUCCESS] | Installed: ffmpeg | Mon Sep  8 12:32:19 2025
[LoggerStatus.SUCCESS] | Installed: p7zip | Mon Sep  8 12:32:20 2025
[LoggerStatus.SUCCESS] | Installed: gparted | Mon Sep  8 12:32:22 2025
[LoggerStatus.SUCCESS] | Installed: sshfs | Mon Sep  8 12:32:23 2025
[LoggerStatus.SUCCESS] | Installed: openvpn | Mon Sep  8 12:32:25 2025
[LoggerStatus.SUCCESS] | Installed: xclip | Mon Sep  8 12:32:26 2025
[LoggerStatus.SUCCESS] | Installed: gpick | Mon Sep  8 12:32:28 2025
[LoggerStatus.SUCCESS] | Installed: wget | Mon Sep  8 12:32:29 2025
[LoggerStatus.SUCCESS] | Installed: ueberzug | Mon Sep  8 12:32:30 2025
[LoggerStatus.SUCCESS] | Installed: netctl | Mon Sep  8 12:32:32 2025
[LoggerStatus.SUCCESS] | Installed: light | Mon Sep  8 12:32:32 2025
[LoggerStatus.SUCCESS] | Installed: libreoffice | Mon Sep  8 12:32:35 2025
[LoggerStatus.SUCCESS] | Installed: breeze | Mon Sep  8 12:32:36 2025
[LoggerStatus.SUCCESS] | Installed: vulkan-intel | Mon Sep  8 12:32:38 2025
[LoggerStatus.SUCCESS] | Installed: intel-ucode | Mon Sep  8 12:33:03 2025
